question_no,question,1,2,3,4,correct_ans
51, "Who is the re-appointed Prime Minister of Russia?", "Vladimir Putin", "Dmitry Medvedev", "Mikhail Mishustin", "Sergei Shoigu", "Mikhail Mishustin"
52, "Which Indian actress received the Lata Deenanath Mangeshkar Award?", "Deepika Padukone", "Priyanka Chopra", "Kangana Ranaut", "Amitabh Bachchan", "Amitabh Bachchan"
53, "Which country won the 2024 Sultan Azlan Shah Cup?", "India", "Pakistan", "Japan", "Malaysia", "Japan"
54, "Which cricketer became the first Indian woman to score over 200 runs in a single day’s play?", "Mithali Raj", "Harmanpreet Kaur", "Smriti Mandhana", "Shafali Verma", "Shafali Verma"
55, "Who was awarded the International Booker Prize 2024?", "Arundhati Roy", "Michael Hofmann", "Jenny Erpenbeck", "Amitav Ghosh", "Jenny Erpenbeck"
56, "Which movie won the Best Film award at the 69th National Film Awards?", "Pushpa", "RRR", "Rocketry: The Nambi Effect", "Gangubai Kathiawadi", "Rocketry: The Nambi Effect"
57, "Who won the 69th National Film Award for Best Actor?", "Shah Rukh Khan", "Allu Arjun", "Ranbir Kapoor", "Rajinikanth", "Allu Arjun"
58, "Where is India's 1st multipurpose green hydrogen pilot project located?", "Himachal Pradesh", "Gujarat", "Maharashtra", "Tamil Nadu", "Himachal Pradesh"
59, "Who became the 1st Indian woman helicopter pilot in the Indian Navy?", "Anamika B. Rajeev", "Gauri Devi", "Shobha Yadav", "Sunita Deshmukh", "Anamika B. Rajeev"
60, "Who was appointed as the Chief of Personnel of the Indian Navy?", "P.K. Mishra", "Sanjay Bhalla", "Ajit Doval", "Kapil Sibal", "Sanjay Bhalla"
61, "Where was the Om-shaped temple inaugurated?", "Pali", "Jaipur", "Udaipur", "Jodhpur", "Pali"
62, "Which lake is located in Himachal Pradesh?", "Dal Lake", "Gepan Garth Lake", "Pandoh Lake", "Renuka Lake", "Gepan Garth Lake"
63, "Which police station became India's first to deploy drones?", "Mumbai", "Chennai", "Delhi", "Hyderabad", "Chennai"
64, "What is the rank of India in the World Press Freedom Index 2024?", "159th", "145th", "110th", "98th", "159th"
65, "Which country ranked 1st in the World Press Freedom Index 2024?", "Sweden", "Norway", "Denmark", "Finland", "Norway"
66, "Which country ranked last in the World Press Freedom Index 2024?", "North Korea", "Eritrea", "Somalia", "Sudan", "Eritrea"
67, "Who was appointed as the Pro-tem speaker of the 18th Lok Sabha?", "Om Birla", "Sumitra Mahajan", "Bhartruhari Mahtab", "Meira Kumar", "Bhartruhari Mahtab"
