question_no,question,1,2,3,4,correct_ans
151, "Who won the PEN Pinter Prize 2024?", "Arundhati Roy", "Naomi Klein", "Michael Hofmann", "Jenny Erpenbeck", "Arundhati Roy"
152, "Which country hosted the FIFA Women's World Cup 2023?", "Australia & New Zealand", "Brazil", "USA", "France", "Australia & New Zealand"
153, "Who is India's first woman DGP in Meghalaya?", "Kiran Bedi", "Sonia Narang", "Durga Shakti Nagpal", "Idashisha Nongran", "Idashisha Nongran"
154, "What rank did India achieve in the World Economic Forum’s Energy Transition Index 2024?", "1st", "63rd", "100th", "20th", "63rd"
155, "Which state launched the 'Pirul Lao-Paise Lao' campaign?", "Uttarakhand", "Himachal Pradesh", "Maharashtra", "Gujarat", "Uttarakhand"
156, "Who won the Whitley Gold Award in 2024?", "Purnima Devi Barman", "Alok Shukla", "Ravi Kannan", "Jenny Erpenbeck", "Purnima Devi Barman"
157, "Who became the next Chief of the Army Staff in 2024?", "Lt. Gen. Upendra Dwivedi", "Ajit Doval", "Bipin Rawat", "Sanjay Bhalla", "Lt. Gen. Upendra Dwivedi"
158, "Which country ranked last in the World Press Freedom Index 2024?", "North Korea", "Eritrea", "China", "Sudan", "Eritrea"
159, "Who was awarded the International Booker Prize 2024?", "Arundhati Roy", "Jenny Erpenbeck", "Naomi Klein", "Michael Hofmann", "Jenny Erpenbeck"
160, "Which cricketer won the 'Orange Cap' in IPL 2024?", "Virat Kohli", "MS Dhoni", "Harshal Patel", "Rohit Sharma", "Virat Kohli"
161, "Who became the 1st Indian woman helicopter pilot in the Indian Navy?", "Anamika B. Rajeev", "Sunita Deshmukh", "Shobha Yadav", "Durga Bai Majhwar", "Anamika B. Rajeev"
162, "Which country won the 2024 Sultan Azlan Shah Cup?", "Japan", "Pakistan", "India", "Malaysia", "Japan"
163, "Which country ranked 1st in the World Press Freedom Index 2024?", "Sweden", "Norway", "Denmark", "Finland", "Norway"
164, "Who was appointed as UNICEF India's National Ambassador?", "Priyanka Chopra", "Kareena Kapoor", "Alia Bhatt", "Deepika Padukone", "Kareena Kapoor"
165, "Who won the 2024 International Booker Prize?", "Jenny Erpenbeck", "Michael Hofmann", "Naomi Klein", "Ravi Kannan", "Jenny Erpenbeck"
166, "Who became the Prime Minister of Portugal in 2024?", "Luis Montenegro", "Pedro Sanchez", "Angela Merkel", "Boris Johnson", "Luis Montenegro"
167, "What is the name of the 2024 anti-paper leak bill?", "Public Examination Bill", "Exam Fairness Bill", "Education Reforms Bill", "Anti-Cheating Bill", "Public Examination Bill"
168, "Which state launched the Naya Savera Scheme?", "Uttar Pradesh", "Maharashtra", "Rajasthan", "None of the above", "None of the above"
169, "Who is the chairperson of the SC Bar Association in 2024?", "Kapil Sibal", "Sonia Narang", "Ajit Doval", "P.K. Mishra", "Kapil Sibal"
170, "Where is India's first multipurpose green hydrogen pilot project located?", "Maharashtra", "Himachal Pradesh", "Gujarat", "Uttar Pradesh", "Himachal Pradesh"
