question_no,question,1,2,3,4,correct_ans
1,"निमिनिनित में से कौि सी सात बडी नबन्ियाँ हैं निनहें 
अंतराराष्ट्ीय नबग कै ट एिायंस (IBCA) संरनषित करिे का 
िक्य रिता है?","बाघ, शेर, तेंदुआ, नहम तेंदुआ, चीता, िगुआर और 
पययूमा","बाघ, शेर, तेंदुआ, नहम तेंदुआ, तेंदुआ, कौगर और 
निंकस","शेर, तेंदुआ, नहम तेंदुआ, चीता, िगुआर, पययूमा और 
कौगर","बाघ, शेर, तेंदुआ, तेंदुआ, नहम तेंदुआ, िगुआर और","बाघ, शेर, तेंदुआ, नहम तेंदुआ, चीता, िगुआर और 
पययूमा"
2,"फरीदाबाद में 38वां सयूरिकुं ड अंतराराष्ट्ीय नश््प मेिे का 
आयोिि में थीम सटेट कौि होगा?","झारिंड और मधय प्रदेश (b) उडीसा और मधय 
प्रदेश
 
(c) छत्ीसगढ़ और मधय प्रदेश (d) उडीसा 
और 
रािसथाि 
03. नकस भारतीय-अमेररकी िे ए्बम ‘नरिवेणी’ के  निए बेसट नययू 
एि, एनमबएंट या चैंट ए्बम श्ेणी में ग्ैमी ्पुरसकार िीता है?
 
(a) चंनरिका टंडि",नबयॉनसे िॉरेंस,ररकी के ि,अिुष्का शंकर,"झारिंड और मधय प्रदेश (b) उडीसा और मधय 
प्रदेश
 
(c) छत्ीसगढ़ और मधय प्रदेश (d) उडीसा 
और 
रािसथाि 
03. नकस भारतीय-अमेररकी िे ए्बम ‘नरिवेणी’ के  निए बेसट नययू 
एि, एनमबएंट या चैंट ए्बम श्ेणी में ग्ैमी ्पुरसकार िीता है?
 
(a) चंनरिका टंडि"
4,"नचनकतसा प्रयोगशािा प्रौद्ोनगकी और सवास्थय सेवा िवाचार 
से िुडे 24वीं मेडिैब नमनडि ईसट प्रदशरािी का आयोिि कहाँ 
नकया गया है ?",ररयाद,कतर,दुबई,शारिाह,ररयाद
5,"भारतीय सेिा और _______  राष्ट्ीय रषिा बि के  बीच 13वां 
संयुक्त सैनय अभयास ‘एकुवेररि’ शुरू हो गया है।",मािदीव,िे्पाि,भयूटाि,मयांमार,मािदीव
6,"नकस देश नक फासट-फैशि बांड शीि ए्प 5 साि बाद भारत में 
िॉनच हुई है?",िमरािी,चीि,फांस,इटिी,िमरािी
7,"व्डरा ्पैरा-आमरा रेसनिंग क्प 2025 में भारत के  िंबर वि ्पैरा-
एथिीट श्ीमंत झा िे कौि सा मेडि िीता है ?",सवणरा ्पदक,रित ्पदक,कांसय ्पदक,NOTA,सवणरा ्पदक
8,"नवत् मंरिी निमरािा सीतारमण िे 2025 तक िगातार नकतिे 
बिट ्पेश नकए हैं?",छह,सात,आठ,िौ,छह
9,"आकाशवाणी िे शास्तीय संगीत श््रंििा ‘हर कं ठ में भारत’ के  
निए नकस मंरिािय के  साथ हाथ नमिाया है ?",संसक्रनत मंरिािय,दयूरसंचार मंरिािय,्पयराटि मंरिािय,नशषिा मंरिािय,संसक्रनत मंरिािय
10,"िागररक उड्डयि मंरिािय के  तहत िागररक उड्डयि सुरषिा 
बययूरो (BCAS) के  महानिदेशक (DG) के  रू्प में नकसे नियुक्त 
नकया गया है?",रािेश निवाराण,देविीत सैनकया,प्रभतेि नसंह भानटया,आशीष शेिार,रािेश निवाराण
11,"िई नद्िी नवश्व ्पुसतक प्रदशरािी 2025 का उद्ाटि नकसिे 
नकया ?",राष्ट््पनत श्ीमती रिौ्पदी मुमयूरा,प्रधािमंरिी िरेंरि मोदी,उ्पराष्ट््पनत िगदी्प धिकर,ग्रह मंरिी अनमत शाह,राष्ट््पनत श्ीमती रिौ्पदी मुमयूरा
12,"‘चक्ीय अथरावयवसथा ्पर राष्ट्ीय कायराशािा’ का आयोिि 
कहाँ नकया गया है ?",िई नद्िी,िय्पुर,इंदौर,िैसिमेर,िई नद्िी
13,"अमेररकी राष्ट््पनत डोिा्ड ट्म्प िे 1 फरवरी से किाडा और 
मेनकसको के  अिावा अनय नकस देश ्पर एकसट्ा टैररफ िगा 
नदया है?",िा्पाि,चीि,्पिामा,भारत,िा्पाि
14,"देश का ्पहिे वनटराकि निफटअ्प नबि का ट्ेि ट्ायि कहाँ 
हुआ है?",रामेश्वरम,हुगिी,श्ीिगर,्पुरी,रामेश्वरम
15,'सवरेि' सु्परऐ्प का शुभारंभ नकसके  द्ारा नकया गया है?,रेि मंरिािय,ग्रह मंरिािय,नशषिा मंरिािय,क्रनष मंरिािय,रेि मंरिािय
16,"7-14 फरवरी 2025 तक 9वें एनशयाई शीतकािीि िेिों की 
मेिबािी कौि सा देश करेगा?",िा्पाि,चीि,्पिामा,भारत,िा्पाि
17,"_____________ और सम्रनत मंधािा को 2023-24 में 
अचछे प्रदशराि के  निए मनहिा और ्पुरुष कै टेगरी में सवराश्ेष्ठ 
इंटरिेशिि नक्के टर के  निए ्पॉिी उमरीगर अवॉडरा नदया 
िाएगा।",रोनहत शमारा,"नवराट कोहिी 
—S.K.C SIR
Current Affairs
February– 2025 
KGS Campus, Sai Mandir Musallahpur Hatt, Patna-06
KGS-2
8877918018,8757354880
IAS
KGS",अनभषेक शमारा,िसप्रीत बुमराह,रोनहत शमारा
